Nr;date_farm;AMU;age;date_lab;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res;;;
1;01.02.2023;0;0;10.02.2023;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6;;;
2;01.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
3;01.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
4;01.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
5;02.02.2023;0;0;10.02.2023;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;;;
6;02.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
7;02.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
8;02.02.2023;0;1;10.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;08.02.2023;0;0;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;08.02.2023;0;0;10.03.2023;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;1;;;
14;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
15;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;08.02.2023;0;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;09.02.2023;1;0;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;09.02.2023;1;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;09.02.2023;1;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
20;09.02.2023;1;1;16.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
21;15.02.2023;0;0;03.03.2023;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;;;
22;15.02.2023;0;1;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;15.02.2023;0;1;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
24;15.02.2023;0;1;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;15.02.2023;0;0;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;15.02.2023;0;1;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;15.02.2023;0;1;23.02.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
28;15.02.2023;0;1;03.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
29;16.02.2023;0;0;03.03.2023;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;8;1;7;;;
30;16.02.2023;0;1;03.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
31;16.02.2023;0;1;03.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
32;16.02.2023;0;1;03.03.2023;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;4;1;4;;;
33;22.03.2023;1;0;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
34;22.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
35;22.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
36;22.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
37;22.03.2023;0;0;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
38;22.03.2023;0;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
39;22.03.2023;0;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
40;22.03.2023;0;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
41;23.03.2023;1;0;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
42;23.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
43;23.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
44;23.03.2023;1;1;29.03.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
45;17.04.2023;0;0;22.04.2023;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;2;;;
